dvs,treatment_old,treatment,subgroup,topline_error,topline,treatment_effect_error,treatment_effect,best_treatment,worst_treatment,backlash
Buick - Not so Peewee Football,1,Ad,Age 18 to 34,0.0516966660862291,0.370240265690217,0.0590758421335052,0.0283250377561358,0.6838,0.3162,0.3162
Buick - Not so Peewee Football,0,Control,Falcons fans,0.0290980962989818,0.328020491423158,0,0,0.0836,0.9164,0
Buick - Not so Peewee Football,0,Control,Whites,0.0223909018782126,0.325091414573419,0,0,0.2668,0.7332,0
Buick - Not so Peewee Football,1,Ad,Hispanics,0.087770462978983,0.351667904103491,0.0987559221245945,-0.0590068372298287,0.2826,0.7174,0.7174
TurboTax - Humpty Hospital,0,Control,Did Not Watch,0.0418941938389911,0.448353703962986,0,0,0.4076,0.5924,0
TurboTax - Humpty Hospital,1,Ad,Did Not Watch,0.0530458756228065,0.464381648973835,0.0660114303134121,0.0160279450108489,0.5924,0.4076,0.4076
Wix - Restaurant,0,Control,Did Not Watch,0.0344007299855746,0.111068982777866,0,0,0.0674,0.9326,0
Buick - Not so Peewee Football,1,Ad,Women,0.0397213515347026,0.380469756335902,0.0485908697435773,0.0516827260877551,0.853,0.147,0.147
TurboTax - Humpty Hospital,0,Control,Age 18 to 34,0.0461569198804874,0.588470430806652,0,0,0.3434,0.6566,0
Buick - Not so Peewee Football,1,Ad,Watched,0.0311818531940347,0.358924687534561,0.0378806918973595,0.00517302874232842,0.5574,0.4426,0.4426
Wix - Restaurant,1,Ad,Hispanics,0.072115269625486,0.3002636660051,0.0797151412362472,0.0809008604739798,0.8514,0.1486,0.1486
TurboTax - Humpty Hospital,0,Control,All,0.02018726,0.482760131451535,0,0,0.6294,0.3706,0
Buick - Not so Peewee Football,0,Control,Hispanics,0.0539808388084254,0.41067474133332,0,0,0.7174,0.2826,0
Wix - Restaurant,0,Control,Sort of Watched,0.0318899713105623,0.144495382081186,0,0,0.4224,0.5776,0
Buick - Not so Peewee Football,0,Control,African Americans,0.0679239463455727,0.422645501900783,0,0,0.822,0.178,0
Wix - Restaurant,0,Control,Watched,0.0225148823191115,0.159510620179804,0,0,0.084,0.916,0
TurboTax - Humpty Hospital,1,Ad,Hispanics,0.0785707084253151,0.496432042457787,0.0870530843808439,-0.00594426005125904,0.469,0.531,0.531
Wix - Restaurant,0,Control,Whites,0.0193673723579476,0.133966561955369,0,0,0.0494,0.9506,0
Wix - Restaurant,1,Ad,African Americans,0.0864092752744629,0.18317343699229,0.0944356530589515,0.0436823061165089,0.6906,0.3094,0.3094
TurboTax - Humpty Hospital,1,Ad,Whites,0.0302387115128022,0.466250630562699,0.0371835566776155,-0.0139190116992882,0.3452,0.6548,0.6548
Wix - Restaurant,1,Ad,Age 65 and over,0.0397785253155307,0.0645225842255192,0.0512265685712768,-0.00860133672666592,0.4456,0.5544,0.5544
TurboTax - Humpty Hospital,1,Ad,Patriots fans,0.0657133724269319,0.396417469712077,0.0834626830316021,-0.169200269226632,0.0222,0.9778,0.9778
Buick - Not so Peewee Football,0,Control,Women,0.0283396696500966,0.328787030248147,0,0,0.147,0.853,0
TurboTax - Humpty Hospital,0,Control,Watched,0.023647307475286,0.492645272548385,0,0,0.6958,0.3042,0
Wix - Restaurant,1,Ad,Whites,0.0245057299171924,0.184185894557691,0.0307170532099918,0.0502193326023214,0.9506,0.0494,0.0494
TurboTax - Humpty Hospital,0,Control,Age 35 to 49,0.0426363841178396,0.505801068098978,0,0,0.2644,0.7356,0
TurboTax - Humpty Hospital,1,Ad,All,0.02669493,0.470971018141624,0.03256486,-0.0117891133099105,0.3706,0.6294,0.6294
Wix - Restaurant,1,Ad,Age 18 to 34,0.052427923011414,0.474076155594414,0.065736360348646,0.240348412000454,0.9998,0.0002,0.0002
TurboTax - Humpty Hospital,0,Control,No Team Preference,0.0352124045862368,0.430133459082964,0,0,0.2686,0.7314,0
TurboTax - Humpty Hospital,0,Control,Age 65 and over,0.0373548209833786,0.406610271922367,0,0,0.8278,0.1722,0
Buick - Not so Peewee Football,0,Control,Age 18 to 34,0.0365962839752831,0.341915227934081,0,0,0.3162,0.6838,0
Buick - Not so Peewee Football,0,Control,No Team Preference,0.0310416547271085,0.338261907483414,0,0,0.6894,0.3106,0
TurboTax - Humpty Hospital,0,Control,Hispanics,0.0518407193537747,0.502376302509046,0,0,0.531,0.469,0
Wix - Restaurant,1,Ad,Women,0.0321976121596838,0.193872595321501,0.0389259056162133,0.0542874719209373,0.9246,0.0754,0.0754
TurboTax - Humpty Hospital,0,Control,African Americans,0.0605822411444021,0.47737080824116,0,0,0.4132,0.5868,0
Wix - Restaurant,0,Control,Men,0.0237735784141984,0.148126359664382,0,0,0.1086,0.8914,0
Wix - Restaurant,1,Ad,All,0.01965767,0.195261801514926,0.02429459,0.0514880269161219,0.9696,0.0304,0.0304
TurboTax - Humpty Hospital,1,Ad,Men,0.0393178525497381,0.427687822634577,0.0489568964298777,-0.0597408828968235,0.1114,0.8886,0.8886
Wix - Restaurant,1,Ad,Men,0.0307617767324379,0.195795874568963,0.0383963369057899,0.0476695149045806,0.8914,0.1086,0.1086
Buick - Not so Peewee Football,1,Ad,Age 65 and over,0.0439046398921146,0.32734556150713,0.0513609978090503,0.00839975664288733,0.5686,0.4314,0.4314
Wix - Restaurant,0,Control,All,0.01518766,0.143773774598804,0,0,0.0304,0.9696,0
TurboTax - Humpty Hospital,1,Ad,Falcons fans,0.0417649488924105,0.508280481363736,0.0508309831511233,0.0162524780206855,0.626,0.374,0.374
Wix - Restaurant,1,Ad,Age 50 to 64,0.0464095852597254,0.102933029976181,0.0555398947583399,-0.0366527575290378,0.257,0.743,0.743
Wix - Restaurant,1,Ad,Age 35 to 49,0.0453438043658309,0.215146701297465,0.0564075318807641,0.0586520012423147,0.8508,0.1492,0.1492
Wix - Restaurant,0,Control,Patriots fans,0.0334791052010532,0.188211865646043,0,0,0.3882,0.6118,0
Wix - Restaurant,0,Control,No Team Preference,0.0251365933426054,0.111839083320193,0,0,0.0382,0.9618,0
Wix - Restaurant,0,Control,Age 35 to 49,0.0346971684081339,0.15649470005515,0,0,0.1492,0.8508,0
TurboTax - Humpty Hospital,0,Control,Falcons fans,0.0304291501609516,0.49202800334305,0,0,0.374,0.626,0
TurboTax - Humpty Hospital,1,Ad,Age 18 to 34,0.0582167313043721,0.619303343389128,0.0703823335005042,0.0308329125824765,0.6566,0.3434,0.3434
Buick - Not so Peewee Football,0,Control,Age 35 to 49,0.0394207471613113,0.385639349427334,0,0,0.3216,0.6784,0
Buick - Not so Peewee Football,0,Control,Patriots fans,0.0425145258556485,0.381326704467034,0,0,0.8574,0.1426,0
Buick - Not so Peewee Football,0,Control,All,0.01931696,0.341844085465115,0,0,0.4454,0.5546,0
